name,address,phone,website,rating,total_reviews,price_level,business_status,types,place_id,query_used,scraped_at
Bstar barber,"41 Prince Regent Ln, London E13 8RH, UK",07865 969078,,4.6,62,,OPERATIONAL,,ChIJ8auG3GOn2EcR4m4i2JAZj5k,Barbers,2025-09-17T16:31:44.656660
E13 Clean Cut,"115 High St, London E13 0AD, UK",07727 188950,,4.5,35,,OPERATIONAL,,ChIJDQilN7-n2EcRBhpB6ZYaZIY,Barbers,2025-09-17T16:31:44.836201
FADE TOWN BARBERSHOP,"39 Plashet Grove, London E6 1AD, UK",,https://www.instagram.com/tribal_fadez?igsh=MXY3ZXNyeGRzcmNpeQ==,4.1,38,,OPERATIONAL,,ChIJD0KlRmOn2EcRmi0-odSbffA,Barbers,2025-09-17T16:31:45.081388
Hair & Beauti Station,"373 Green St, London E13 9AU, UK",07711 940786,https://sitelift.site/hairandbeautistation/,4.9,326,,OPERATIONAL,,ChIJXThPWjin2EcRJw1wLWc_QzA,Barbers,2025-09-17T16:31:45.271040
Clear Cuts Barbershop,"44 Plashet Rd, London E13 0PU, UK",020 8586 6756,,4.7,44,,OPERATIONAL,,ChIJ1SRylL-n2EcRFCyVppQRZo8,Barbers,2025-09-17T16:31:45.455867
Billy’s Barber's (Stratford),"20 W Ham Ln, London E15 4SA, UK",07944 446944,http://billysbarbers.booksy.com/,4.6,739,,OPERATIONAL,,ChIJNQiNoYun2EcRf0x6PioKZx8,Barbers,2025-09-17T16:31:45.745273
Mr Tee Plaistow Barber Shop,"326 Barking Rd, London E13 8HL, UK",020 7511 6466,,4.3,152,,OPERATIONAL,,ChIJFd3WJuen2EcRq2251gKhLHA,Barbers,2025-09-17T16:31:45.951908
Dani Barbers,"404 Barking Rd, London E13 8HJ, UK",07713 160022,,4.4,78,,OPERATIONAL,,ChIJM3NZh92n2EcRoFwCMgtZpDQ,Barbers,2025-09-17T16:31:46.181893
Euro Barbers,"342 Barking Rd, London E13 8HJ, UK",07713 160022,,4.2,32,,OPERATIONAL,,ChIJFb5AIuen2EcR2MKKa8Pnqwk,Barbers,2025-09-17T16:31:46.361650
Plaistow Barbers,"249B Plaistow Rd, London E15 3EU, UK",07378 143250,https://www.facebook.com/ichangovbarbers/?eid=ARC3rigFZycWD5A--rtlv_NuT7sZX1Qwm4dz1-xuf5UvvAiKaT7dWF8oLgD4_Km5U-rhYAqkzHlm5H9H&timeline_context_item_type=intro_card_work&timeline_context_item_source=100000731117714&fref=tag,4.6,45,,OPERATIONAL,,ChIJpxCzR-yn2EcRnlAy1E8yQgY,Barbers,2025-09-17T16:31:46.544654
Zayn The Clipper hq canning town,"Zayn, the clipper HQ, 13a Minnie Baldock St, Hallsville Quarter E16 1YE, UK",020 3887 8076,http://www.zayntheclipper.com/,4.4,425,,OPERATIONAL,,ChIJH0Ne_1yp2EcRdfgD1yoq0SE,Barbers,2025-09-17T16:31:46.731974
Upton Park Builders Merchants London,"434-436 Green St, London E13 9DB, UK",020 8552 1060,,4.5,276,,OPERATIONAL,,ChIJBQsijMin2EcRdpGz3MUqLNc,builders,2025-09-17T16:31:47.346491
D Building Ltd,"62, Stubbs Point, New Barn St, London E13 8JN, UK",07872 930772,https://www.dbuildingltd.co.uk/,5.0,37,,OPERATIONAL,,ChIJBSyvZtSn2EcR_C2Jplpz4NI,builders,2025-09-17T16:31:47.523492
Hereni Builders LTD,"Eclipse Rd, London E13 8LX, UK",,,5.0,15,,OPERATIONAL,,ChIJkQdU8SCn2EcRtjJ0LF_ny-I,builders,2025-09-17T16:31:47.763107
De Builder & Landscape,"12 Hartland Rd, London E15 4AR, UK",07553 754059,https://debuilderlandscape.co.uk/,5.0,33,,OPERATIONAL,,ChIJs0BeeMmn2EcR0hfN4ET6iuI,builders,2025-09-17T16:31:47.950194
East London Builders Merchant,"82 Katherine Rd, London E6 1EN, UK",020 8470 3898,,4.4,14,,OPERATIONAL,,ChIJtweCO3un2EcRLn3qab9z_hc,builders,2025-09-17T16:31:48.212843
JM Builders,"71 Lawrence Rd, London E6 1JN, UK",07939 620645,,3.2,13,,OPERATIONAL,,ChIJ_9Iivkqm2EcRASMVccwzrwA,builders,2025-09-17T16:31:48.411782
NASRI & Salim Builders,"Green St, London E13 9AU, UK",07951 638121,,5.0,2,,OPERATIONAL,,ChIJ_f9s0UGn2EcRcnUaFSDFSY0,builders,2025-09-17T16:31:48.596889
Eastend Build,"73 Portway, London E15 3QG, UK",020 8555 3222,https://eastendbuild.com/,4.9,64,,OPERATIONAL,,ChIJrQELlHCn2EcR5KDJlVhg-EU,builders,2025-09-17T16:31:48.797803
Green House Builders,"45 Cleves Rd, London E6 1QF, UK",07466 684684,,5.0,1,,OPERATIONAL,,ChIJc8Ahvgin2EcReNsRHYDUTss,builders,2025-09-17T16:31:48.969535
H & S Builders Merchants,"352-354 Katherine Rd, London E7 8NW, UK",020 8470 2740,https://hsbuildersmerchants.co.uk/,3.8,95,,OPERATIONAL,,ChIJr4LY1bCn2EcRaksqVjcigBo,builders,2025-09-17T16:31:49.153467
SU Builders & DIY,"102, 106 Katherine Rd, London E6 1EN, UK",020 8472 7479,,4.2,23,,OPERATIONAL,,ChIJjc7mtcqn2EcR1rOhpJPq1Fs,builders,2025-09-17T16:31:49.346769
Samy Builders LTD,"58, The Odeon, Barking IG11 8RR, UK",07785 791693,https://samybuilders.co.uk/,5.0,7,,OPERATIONAL,,ChIJb21KdQUyYSQRswIMh0R6QLM,builders,2025-09-17T16:31:49.532349
Luckings Builders,"170 Forest Ln, London E7 9BB, UK",020 8503 1500,,4.8,19,,OPERATIONAL,,ChIJ2-wCi5in2EcRB5Nneb2Kj0M,builders,2025-09-17T16:31:49.784452
H.M Builders,"Lincoln St, London E11 4PZ, UK",07811 867710,https://www.hm-builders.co.uk/,5.0,14,,OPERATIONAL,,ChIJ3YOuXLWn2EcRvnOi0tOr9RY,builders,2025-09-17T16:31:49.976027
Mg Builders London Ltd,"19 Sherwood Gardens, Barking IG11 9TH, UK",07887 941198,,5.0,5,,OPERATIONAL,,ChIJ-_T8Z7in2EcR5prBnsye3g0,builders,2025-09-17T16:31:50.166958
Majors Builders Merchants Ltd,"Southend Rd, London E6 2AL, UK",020 8470 8199,,4.0,150,,OPERATIONAL,,ChIJ6W5q50Wm2EcRzcTRdQP-tbw,builders,2025-09-17T16:31:50.388293
Elevate Remodeling Builders LTD,"Green St, London E7 8LL, UK",07438 442361,https://elevatebuildersltd.co.uk/,5.0,6,,OPERATIONAL,,ChIJmdi3VMin2EcRv23uIrPEjZg,builders,2025-09-17T16:31:50.574777
Essex Construction and Builders Ltd,"11 Joan Gardens, Dagenham RM8 1QX, UK",020 3983 4770,https://www.essexconstructionbuilders.co.uk/,4.9,24,,OPERATIONAL,,ChIJVyRLfN-l2EcRiOFBgTvWyUU,builders,2025-09-17T16:31:50.831642
Vasarti Builders Limited,"Kingsland Rd, London E13 9NU, UK",07728 553753,http://vasartibuilders.co.uk/,5.0,6,,OPERATIONAL,,ChIJr7s49Fin2EcRMe2wQdYSGzA,builders,2025-09-17T16:31:51.014081
Willmore Builders,"43A Lakedale Rd, London SE18 1PR, UK",07713 024696,http://www.willmorebuilders.com/,5.0,13,,OPERATIONAL,,ChIJXabiEDyp2EcRo5k6Ub1is8k,builders,2025-09-17T16:31:51.217843
Rapid React Plumbing,"24 Wyatt Rd, London E7 9NE, UK",07958 432679,https://rapidreactplumbing.co.uk/,4.9,202,,OPERATIONAL,,ChIJtzIoJpan2EcRZaWbGE3xv_s,plumbers,2025-09-17T16:31:52.059629
Tafa Plumbing and Heating Ltd,"Flat 19, Michael Cliff House, Skinner Street, London EC1R 0WW, UK",07488 707638,https://tafaplumbing.co.uk/,4.8,35,,OPERATIONAL,,ChIJw1vYS9sbdkgR_ASV4j-JAfs,plumbers,2025-09-17T16:31:52.241320
Raymond Plumbing & Electrical,"31 Raymond Rd, London E13 9AP, UK",07520 666002,,5.0,9,,OPERATIONAL,,ChIJqx3wGsOn2EcRnY3eW1OaPCM,plumbers,2025-09-17T16:31:52.481058
Pippo Plumbers LTD,"OFFICE, 2 Albert Basin Way, London E16 2QZ, UK",020 3355 0733,https://pippoplumbers.co.uk/,4.7,159,,OPERATIONAL,,ChIJCWA7aMEddkgRGSsrNiE2GQE,plumbers,2025-09-17T16:31:52.671556
Al Noor PHB Services Ltd,"311 Barking Rd, London E13 8EE, UK",020 3948 6022,http://www.alnoorphbservices.co.uk/,4.9,90,,OPERATIONAL,,ChIJ4xBwH9-n2EcRCVP3ifgvZ_0,plumbers,2025-09-17T16:31:52.925658
Rapid Plumbing And Heating Canning town,"126A Barking Rd, London E16 1EN, UK",07360 541926,,4.5,8,,OPERATIONAL,,ChIJq_yoWKmn2EcRIxCLJzwQjN4,plumbers,2025-09-17T16:31:53.123424
Kris Plumbing And Heating Upton Park,"158B Plashet Rd, London E13 0QT, UK",07480 788121,,4.2,10,,OPERATIONAL,,ChIJ3Q_6Po2n2EcRPjbmTnkSsEE,plumbers,2025-09-17T16:31:53.315776
East End Plumbers,"8 Bodney Rd, Lower Clapton, London E8 1AY, UK",020 8611 2591,https://eastendplumbers.co.uk/,4.9,302,,OPERATIONAL,,ChIJD-bFV4IddkgRcEHEqCTOk6M,plumbers,2025-09-17T16:31:53.528104
East London Plumbers,"28 Wellington Way, Bow, London E3 4XA, UK",07735 743440,https://eastlondonplumber.com/,4.9,128,,OPERATIONAL,,ChIJE1Z8xC0ddkgR3wO6s2ENSlA,plumbers,2025-09-17T16:31:53.709262
DPP Heating and Plumbing,"Godwin Rd, London E7 0LE, UK",07921 438947,http://dppheatingandplumbing.co.uk/,5.0,47,,OPERATIONAL,,ChIJwRbSumGn2EcRcdXfbfd6gj4,plumbers,2025-09-17T16:31:53.974068
LW Plumbing & Heating Solutions LTD,"3 Southwest Rd, London E11 4AW, UK",020 3728 8855,https://lwplumbingandheatingsolutions.co.uk/,5.0,228,,OPERATIONAL,,ChIJGb7XLRqn2EcRdyFANpVuZZY,plumbers,2025-09-17T16:31:54.155888
Gas Zone Plumbing & Heating,"1 Canning Rd, London E15 3NW, UK",07300 353247,https://www.gaszone.co.uk/,4.9,94,,OPERATIONAL,,ChIJN73Thbqn2EcRGfz8k9xat0c,plumbers,2025-09-17T16:31:54.362241
Early Bird J Plumbing & Gas Ltd,"22 Jedburgh Rd, London E13 9LG, UK",07951 725518,http://www.ebjgas.com/,5.0,1,,OPERATIONAL,,ChIJ8Rs11NCl2EcRxem8THi3WPg,plumbers,2025-09-17T16:31:54.600904
Expert plumbers ltd,"46 Dagmar Ct, London E14 3JF, UK",07943 144166,http://www.plumbereastlondon.com/,4.3,151,,OPERATIONAL,,ChIJI_GRTqICdkgRXG0luvpA1wc,plumbers,2025-09-17T16:31:54.785623
D & S Yearling Plumbing Heating & Gas Services,"52 Kingsland Rd, London E13 9PA, UK",07850 790275,,4.6,11,,OPERATIONAL,,ChIJd2yh7r7sbEgRYtd_-DbFu50,plumbers,2025-09-17T16:31:55.022089
Near Me Plumbers,"38 Glaisher St, London SE8 3ET, UK",07521 305976,https://www.nearmeplumbers.co.uk/,5.0,203,,OPERATIONAL,,ChIJPXlqTUgDdkgRqMmbx-6x_BQ,plumbers,2025-09-17T16:31:55.216793
Mayfair Plumbers,"13, Mersey House, Liverpool Rd, London N7 8QE, UK",020 3633 1526,https://www.mayfairplumbers.london/,4.9,210,,OPERATIONAL,,ChIJafd7cE4bdkgRZIGyQ9Qi-9Q,plumbers,2025-09-17T16:31:55.440421
Plumb London,"Keppel Rd, London E6 2BD, UK",020 8099 8170,https://www.plumblondon.com/plumbing/plumbers/east-ham.html,4.5,2,,OPERATIONAL,,ChIJE8ZiSzam2EcRFCiWD5ZMHvA,plumbers,2025-09-17T16:31:55.625913
Emergency plumber south-east London,"42 Lenthorp Rd, London SE10 0HT, UK",07476 635835,https://www.emergencyplumber24hr.uk/,4.9,251,,OPERATIONAL,,ChIJa1T7m4ip2EcRF74thiAAtn0,plumbers,2025-09-17T16:31:55.811712
Vesey Plumber Poplar,"Kilmore House, 2 Vesey Path, London E14 6BP, UK",07520 631760,,5.0,10,,OPERATIONAL,,ChIJzRCcMmeq2EcR6-fIviP2lmk,plumbers,2025-09-17T16:31:56.078264
Al-Amin Electrical Contractor,"20, Peninsula Court, 2 Montford Pl, London E15 2QW, UK",020 7476 2153,https://www.al-aminelectrical.co.uk/,4.9,489,,OPERATIONAL,,ChIJP0qjZHKo2EcRv986_aUMZlI,electricians,2025-09-17T16:31:56.735835
L & Z Upton Park Electrical,"14 Queen's Rd, London E13 9AQ, UK",07520 619716,,5.0,10,,OPERATIONAL,,ChIJlTumELe0e0gRvsJEMqVp5hs,electricians,2025-09-17T16:31:56.927155
AR Electricians,"1 Bushey Rd, London E13 9EN, UK",07984 529093,http://arelectricians.co.uk/,5.0,9,,OPERATIONAL,,ChIJ7Vl1cMgNKYURntp9bv5uau0,electricians,2025-09-17T16:31:57.196579
Lloyd Hallowell Electrics,"Flat 61, Sandall House, Daling Way, Bow, London E3 5NB, UK",,https://www.lloydhallowellelectrics.co.uk/,5.0,213,,OPERATIONAL,,ChIJL6qkLCMddkgRLXw4iiekFNw,electricians,2025-09-17T16:31:57.399882
Electrical Solutions 247 Ltd,"Flat 3, 117 Cannon St Rd, London E1 2LX, UK",07777 968288,https://www.electricalsolutions247ltd.co.uk/,5.0,231,,OPERATIONAL,,ChIJSXii85EDdkgRFFUMtcUG2XM,electricians,2025-09-17T16:31:57.651259
Royal Docks Electrical Ltd,"Unit 3a, Thames Enterprise Centre, Princess Margaret Road, East Tilbury, London RM18 8RH, UK",020 7473 7807,https://royaldockselectrical.com/,5.0,49,,OPERATIONAL,,ChIJtcbJ8Wup2EcRCThQC6dTWK4,electricians,2025-09-17T16:31:57.829312
JBS Electrics Ltd,"7 Baron Walk, London E16 4PW, UK",020 7055 0956,http://jbselectrics.co.uk/,5.0,101,,OPERATIONAL,,ChIJNdX87vyn2EcRLeNOruyckJI,electricians,2025-09-17T16:31:58.020897
Anytime Electrical And Heating Canning Town,"McCabe Court, 99 Barking Rd, London E16 4HE, UK",07400 078605,,5.0,3,,OPERATIONAL,,ChIJgetiZPmn2EcRufvtxInGiHU,electricians,2025-09-17T16:31:58.250035
Certified Electricians London Ltd,"4, 156 Westferry Rd, London E14 3QA, UK",07951 966439,http://www.certifiedelectricians.london/,5.0,245,,OPERATIONAL,,ChIJbYc7EXMDdkgRJ9BUyZ3vn8g,electricians,2025-09-17T16:31:58.467981
Wapping Electricians,"24, Marmara Apartments, 13 Western Gateway, London E16 1AJ, UK",020 7473 7807,http://www.royaldockselectrical.com/,4.9,38,,OPERATIONAL,,ChIJc5QoEiSp2EcRImxJR3-_sv0,electricians,2025-09-17T16:31:58.698523
SA Electrical & Plumbing Contractors,"11 Cheltenham Rd, London E10 6EU, UK",07796 893239,https://saelectrical.uk/,5.0,130,,OPERATIONAL,,ChIJtxRNMFIddkgRbOdPxDkrF3U,electricians,2025-09-17T16:31:58.880945
Volt Electrical Solutions Ltd,"28, Saddlers House, 13 Ribbons Walk, East Village, London E20 1AX, UK",07984 919757,http://www.voltelectricalsolutions.co.uk/,5.0,138,,OPERATIONAL,,ChIJ_-TI0CBqFEoRNwRjDqTk6r8,electricians,2025-09-17T16:31:59.084015
Electricians4u ltd,"Office 5, 736, 740 Romford Rd, London E12 6BT, UK",020 8945 3483,https://electricians4ultd.co.uk/,4.8,74,,OPERATIONAL,,ChIJMf6kOYen2EcRLbYYsijyTYg,electricians,2025-09-17T16:31:59.295364
Ideal Electricians Ltd,"9 Woodward Rd, Dagenham RM9 4SJ, UK",07502 396654,https://www.idealelectricians.co.uk/,4.9,158,,OPERATIONAL,,ChIJu5SRVLyl2EcRv6CoPmqCROE,electricians,2025-09-17T16:31:59.489318
AJ Electrical & Plumbing,"Lonsdale Ave, London E6 3PW, UK",020 8629 3222,http://www.ajeps.co.uk/,4.8,72,,OPERATIONAL,,ChIJy35Jr5Cn2EcRiUH3gVUH01U,electricians,2025-09-17T16:31:59.747321
Ben Installation Electrical contractor,"163 Trafalgar Rd, London SE10 9TX, UK",07399 647119,http://www.beninstallation.net/,4.9,70,,OPERATIONAL,,ChIJycNTas-p2EcRM0z_bdHpkDM,electricians,2025-09-17T16:31:59.941380
London Electricians 24/7,"116 Edgeworth Rd, London N3 3EZ, UK",020 3651 9615,https://www.london-electricians-247.co.uk/,5.0,30,,OPERATIONAL,,ChIJ_wdrYKSp2EcRFWO4kxHqR5k,electricians,2025-09-17T16:32:00.132809
London Electrics Ltd,"22 Margaret Way, London IG4 5DD, UK",07795 695656,http://londonelectrics.ltd/,5.0,168,,OPERATIONAL,,ChIJ3SeU1TeW_wcRoi3CEV66mY0,electricians,2025-09-17T16:32:00.354014
MAC Business & Services LTD ( Mac Electrical),"515 Katherine Rd, London E7 8DR, UK",020 3417 7070,https://macelectricals.co.uk/,5.0,44,,OPERATIONAL,,ChIJtX3BN7Cn2EcRzyV-hR8f-hM,electricians,2025-09-17T16:32:00.566376
VOLT ELECTRICIANS ..... vol+ electricians,"64 Leslie Rd, London E11 4HG, UK",07792 824181,https://volt-electricians.com/,5.0,5,,OPERATIONAL,,ChIJc1h9UYsX1UYRi8K3ZTL_poE,electricians,2025-09-17T16:32:00.800726
