name,address,phone,website,rating,total_reviews,price_level,business_status,types,place_id,query_used,scraped_at,emails
KFC,"180 Bishopsgate, London EC2M 4NQ, UK",020 3038 1099,https://www.kfc.co.uk/kfc-near-me/bishopsgate?utm_term=180-Bishopsgate&utm_medium=organic&utm_source=uberall,3.3,1863,1,OPERATIONAL,,ChIJEYu6D7McdkgRtb7rycBVMjI,fast food,2025-09-21T02:24:25.141605,
McDonald's,"2 York Wy, London N1 9AA, UK",020 7837 5015,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8261041:Clicks:DIRSYN:,3.5,4262,1,OPERATIONAL,,ChIJ78B0zD4bdkgRluR43HwjNQ0,fast food,2025-09-21T02:24:27.996304,
McDonald's,"48 Leicester Square, London WC2H 7LU, UK",020 7930 9442,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8261495:Clicks:DIRSYN:,3.7,4028,1,OPERATIONAL,,ChIJk7WRItIEdkgR5Z_D0y6Pcko,fast food,2025-09-21T02:24:30.940749,
Ecco Pizza,"186 Drury Ln, London WC2B 5QD, UK",020 7404 3555,,4.5,950,1,OPERATIONAL,,ChIJEcabXDMbdkgRGQDud_nP8JY,takeaway,2025-09-21T02:24:34.300807,
Spizza,"4 London Bridge St, London SE1 9SG, UK",07769 499592,,4.9,896,,OPERATIONAL,,ChIJ37EuHQIDdkgREa6_2Ul0laQ,takeaway,2025-09-21T02:24:34.521062,
Capital Kebab House,"63 The Cut, London SE1 8LL, UK",020 7207 2274,https://ukcompany.business/london/267128-capital-kebab-house,4.3,1651,1,OPERATIONAL,,ChIJlQTi7boEdkgRwSq5Q9vGGow,takeaway,2025-09-21T02:24:34.722411,
The Takeaway Site,"124 City Rd, London EC1V 2NX, UK",0333 335 6093,https://thetakeawaysite.com/,5.0,4,,OPERATIONAL,,ChIJObecQdwDt2wRenxnzQCGt_s,takeaway,2025-09-21T02:24:35.442626,
Lambeth Pizza,"113A Kennington Rd, London SE11 6SF, UK",020 3337 8862,https://mylambethpizza.co.uk/,4.9,14,,OPERATIONAL,,ChIJN839-xUFdkgRQsgP_i0jAl4,takeaway,2025-09-21T02:24:36.053055,
Naar Lebanese takeaway,"94 Old St, London EC1V 9AY, UK",020 7018 3800,https://sites.google.com/view/naar-lebanese-takeaway/,4.7,324,,OPERATIONAL,,ChIJO9MwR88ddkgRk-86fiUsUNk,takeaway,2025-09-21T02:24:39.218861,"naarfood@gmail.com, naarfood@gmail.comgoogle"
Papa Johns Pizza,"43 Theobalds Rd, London WC1X 8SP, UK",020 3941 8255,https://www.papajohns.co.uk/stores/london-holborn?utm_source=yext-google-my-business&utm_medium=organic&utm_campaign=local-listing,3.9,181,2,OPERATIONAL,,ChIJhWa0mYwbdkgRy_jlcImEA1Q,takeaway,2025-09-21T02:24:42.450958,
KFC,"43 Charing Cross Rd, London WC2H 0AP, UK",020 7439 8291,https://www.kfc.co.uk/kfc-near-me/london-leicester-square?utm_source=uberall&utm_medium=organic&utm_term=london,3.9,2964,1,OPERATIONAL,,ChIJMVplzTwFdkgRuSvAK9t1XSk,takeaway,2025-09-21T02:24:49.871363,
Bolu Restaurant and Takeaway,"7 Camberwell Church St, London SE5 8TR, UK",020 7701 1234,http://www.bolurestaurant.co.uk/,4.5,479,1,OPERATIONAL,,ChIJobyta38DdkgRMrh-xcwo8KU,takeaway,2025-09-21T02:24:52.631455,
TRü chicken,"226 Borough High St, London SE1 1JX, UK",020 7407 8666,,4.2,143,,OPERATIONAL,,ChIJn2FK1TUFdkgRjc9iGx8OZcI,takeaway,2025-09-21T02:24:56.767823,
